user_id,assigned_segment
23557,free_checked_bag_segment
94883,free_checked_bag_segment
101486,free_checked_bag_segment
101961,free_checked_bag_segment
106907,free_hotel_meal_segment
118043,free_checked_bag_segment
120851,free_checked_bag_segment
125845,exclusive_discounts_segment
133058,free_checked_bag_segment
149058,free_hotel_meal_segment
152583,free_checked_bag_segment
153982,free_checked_bag_segment
160754,free_hotel_meal_segment
164522,exclusive_discounts_segment
167852,free_checked_bag_segment
171470,free_hotel_meal_segment
174997,no_cancellation_fees_segment
175032,free_checked_bag_segment
181157,exclusive_discounts_segment
182191,no_cancellation_fees_segment
187212,free_checked_bag_segment
189676,free_hotel_meal_segment
190866,free_checked_bag_segment
195192,free_checked_bag_segment
204943,free_hotel_meal_segment
204997,no_cancellation_fees_segment
205044,free_hotel_meal_segment
206011,free_checked_bag_segment
216796,no_cancellation_fees_segment
217114,free_checked_bag_segment
217136,free_checked_bag_segment
220725,no_cancellation_fees_segment
224996,free_checked_bag_segment
226367,free_hotel_meal_segment
228195,free_checked_bag_segment
228872,free_hotel_meal_segment
229009,free_hotel_meal_segment
229108,free_checked_bag_segment
229330,free_checked_bag_segment
232647,free_hotel_meal_segment
249521,free_checked_bag_segment
252835,exclusive_discounts_segment
258451,free_checked_bag_segment
264470,free_checked_bag_segment
276512,free_checked_bag_segment
281952,free_checked_bag_segment
283325,free_checked_bag_segment
290123,free_hotel_meal_segment
297546,free_checked_bag_segment
298253,one_night_hotel_free_with_flight_segment
299476,free_checked_bag_segment
306165,free_checked_bag_segment
306819,no_cancellation_fees_segment
312488,free_checked_bag_segment
313724,free_hotel_meal_segment
316527,free_checked_bag_segment
317688,free_checked_bag_segment
322867,free_checked_bag_segment
324191,free_checked_bag_segment
328590,no_cancellation_fees_segment
330764,no_cancellation_fees_segment
330893,free_checked_bag_segment
331039,no_cancellation_fees_segment
334787,free_hotel_meal_segment
337227,free_checked_bag_segment
338086,free_checked_bag_segment
340166,free_checked_bag_segment
343928,exclusive_discounts_segment
347778,free_hotel_meal_segment
348817,free_hotel_meal_segment
348863,free_checked_bag_segment
349132,free_checked_bag_segment
350648,free_checked_bag_segment
353271,free_checked_bag_segment
353694,free_hotel_meal_segment
354050,free_checked_bag_segment
354260,free_hotel_meal_segment
354311,free_hotel_meal_segment
354950,free_checked_bag_segment
356046,free_checked_bag_segment
357737,no_cancellation_fees_segment
359072,free_hotel_meal_segment
359080,free_checked_bag_segment
359653,free_checked_bag_segment
361459,free_checked_bag_segment
361759,free_checked_bag_segment
363535,free_hotel_meal_segment
365825,free_hotel_meal_segment
371201,one_night_hotel_free_with_flight_segment
372970,free_checked_bag_segment
373489,exclusive_discounts_segment
374331,no_cancellation_fees_segment
374340,one_night_hotel_free_with_flight_segment
374341,free_checked_bag_segment
375160,free_checked_bag_segment
375729,exclusive_discounts_segment
375751,free_checked_bag_segment
376159,free_hotel_meal_segment
377069,no_cancellation_fees_segment
377411,free_checked_bag_segment
378565,free_hotel_meal_segment
379543,free_checked_bag_segment
380434,exclusive_discounts_segment
380436,free_checked_bag_segment
380757,free_checked_bag_segment
380874,free_checked_bag_segment
380949,no_cancellation_fees_segment
381259,free_checked_bag_segment
381465,free_checked_bag_segment
382181,free_hotel_meal_segment
382384,free_hotel_meal_segment
382533,free_checked_bag_segment
385689,free_hotel_meal_segment
386255,free_checked_bag_segment
386469,free_checked_bag_segment
386914,no_cancellation_fees_segment
387282,free_checked_bag_segment
387783,free_checked_bag_segment
388328,free_checked_bag_segment
388767,free_hotel_meal_segment
388947,exclusive_discounts_segment
389434,free_hotel_meal_segment
389662,free_hotel_meal_segment
389759,free_hotel_meal_segment
390811,free_hotel_meal_segment
392453,exclusive_discounts_segment
395202,free_checked_bag_segment
395981,free_hotel_meal_segment
396552,free_checked_bag_segment
399137,free_hotel_meal_segment
399218,free_hotel_meal_segment
399799,free_checked_bag_segment
400275,free_hotel_meal_segment
400582,free_checked_bag_segment
400899,free_hotel_meal_segment
401245,free_checked_bag_segment
402332,free_checked_bag_segment
402978,free_hotel_meal_segment
403881,free_hotel_meal_segment
404879,free_hotel_meal_segment
405305,free_checked_bag_segment
406210,free_hotel_meal_segment
407118,no_cancellation_fees_segment
407250,free_hotel_meal_segment
407275,free_hotel_meal_segment
407434,free_checked_bag_segment
407642,free_checked_bag_segment
408551,free_checked_bag_segment
409073,free_hotel_meal_segment
411179,free_hotel_meal_segment
411701,free_checked_bag_segment
413128,exclusive_discounts_segment
413340,free_checked_bag_segment
413418,free_checked_bag_segment
413658,no_cancellation_fees_segment
414128,free_checked_bag_segment
415282,free_checked_bag_segment
415381,free_checked_bag_segment
415581,free_hotel_meal_segment
416319,free_checked_bag_segment
416580,no_cancellation_fees_segment
417679,exclusive_discounts_segment
418329,exclusive_discounts_segment
418488,free_checked_bag_segment
418692,no_cancellation_fees_segment
420648,free_checked_bag_segment
420669,free_hotel_meal_segment
421247,free_checked_bag_segment
421515,free_checked_bag_segment
421666,free_hotel_meal_segment
421700,free_checked_bag_segment
421870,free_checked_bag_segment
422066,free_checked_bag_segment
422668,free_checked_bag_segment
423042,no_cancellation_fees_segment
423413,free_checked_bag_segment
424553,free_checked_bag_segment
425632,free_checked_bag_segment
425653,free_checked_bag_segment
425953,free_checked_bag_segment
425966,free_hotel_meal_segment
426478,free_checked_bag_segment
427426,free_checked_bag_segment
427506,no_cancellation_fees_segment
428056,free_checked_bag_segment
428552,free_checked_bag_segment
428858,free_hotel_meal_segment
429345,free_checked_bag_segment
429375,free_hotel_meal_segment
430722,no_cancellation_fees_segment
431144,free_checked_bag_segment
431337,free_checked_bag_segment
431602,no_cancellation_fees_segment
431746,free_checked_bag_segment
431899,free_checked_bag_segment
431912,one_night_hotel_free_with_flight_segment
432333,free_checked_bag_segment
432637,free_checked_bag_segment
432941,free_checked_bag_segment
433080,free_checked_bag_segment
433339,free_checked_bag_segment
433905,free_checked_bag_segment
434238,free_checked_bag_segment
434623,no_cancellation_fees_segment
435231,free_checked_bag_segment
435596,free_checked_bag_segment
435669,free_checked_bag_segment
435837,free_checked_bag_segment
435882,no_cancellation_fees_segment
436320,exclusive_discounts_segment
436894,free_checked_bag_segment
437069,free_checked_bag_segment
437162,no_cancellation_fees_segment
437251,free_hotel_meal_segment
437539,free_checked_bag_segment
437549,free_checked_bag_segment
438189,free_checked_bag_segment
438406,free_checked_bag_segment
438551,no_cancellation_fees_segment
438596,free_hotel_meal_segment
438839,exclusive_discounts_segment
438937,free_checked_bag_segment
438985,no_cancellation_fees_segment
438995,free_checked_bag_segment
439052,free_checked_bag_segment
439120,free_checked_bag_segment
439363,free_checked_bag_segment
440212,exclusive_discounts_segment
440655,free_checked_bag_segment
441200,free_checked_bag_segment
441205,one_night_hotel_free_with_flight_segment
441448,free_hotel_meal_segment
441457,free_checked_bag_segment
441982,exclusive_discounts_segment
442484,exclusive_discounts_segment
442718,exclusive_discounts_segment
442812,free_checked_bag_segment
442819,free_checked_bag_segment
442833,free_checked_bag_segment
443305,free_hotel_meal_segment
443453,exclusive_discounts_segment
443598,exclusive_discounts_segment
443652,free_checked_bag_segment
444387,free_hotel_meal_segment
444885,free_checked_bag_segment
445351,free_checked_bag_segment
445515,free_checked_bag_segment
446124,free_checked_bag_segment
446138,free_checked_bag_segment
446473,free_checked_bag_segment
446933,free_hotel_meal_segment
447053,free_checked_bag_segment
447591,free_checked_bag_segment
447737,free_checked_bag_segment
447951,free_hotel_meal_segment
448025,free_checked_bag_segment
448154,free_checked_bag_segment
448295,free_checked_bag_segment
448467,free_checked_bag_segment
448564,free_checked_bag_segment
449033,free_checked_bag_segment
449326,free_checked_bag_segment
449619,free_checked_bag_segment
449804,free_hotel_meal_segment
449980,free_checked_bag_segment
450164,free_checked_bag_segment
450193,exclusive_discounts_segment
450305,exclusive_discounts_segment
450615,free_hotel_meal_segment
451291,exclusive_discounts_segment
451674,free_checked_bag_segment
452034,no_cancellation_fees_segment
452532,no_cancellation_fees_segment
452594,free_hotel_meal_segment
452612,no_cancellation_fees_segment
453143,free_checked_bag_segment
453168,free_hotel_meal_segment
454264,free_checked_bag_segment
454430,free_checked_bag_segment
454616,free_checked_bag_segment
